price,min_to_metro,floor,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,reg_ЗАО,reg_САО,reg_СВАО,reg_СЗАО,reg_ЦАО,reg_ЮАО,reg_ЮВАО,reg_ЮЗАО
15272858.0,16.0,3.0,2023.0,1.0,0.0,2.84,2.0,False,True,False,False,False,False,False,False
19654093.0,5.0,26.0,2023.0,1.0,0.0,2.87,2.0,False,False,False,False,False,True,False,False
21875716.0,10.0,29.0,2023.0,1.0,0.0,2.72,2.0,False,False,False,False,False,False,True,False
26760111.0,4.0,47.0,2024.0,1.0,0.0,2.85,2.0,False,False,False,True,False,False,False,False
29359584.0,,42.0,2023.0,1.0,0.0,3.05,2.0,False,False,False,True,False,False,False,False
17853150.0,10.0,3.0,2023.0,1.0,1.0,2.8,2.0,False,False,False,False,False,False,False,True
28900000.0,9.0,18.0,2023.0,1.0,0.0,,2.0,False,False,False,False,False,True,False,False
32022800.0,12.0,2.0,2024.0,1.0,0.0,3.0,2.0,False,False,True,False,False,False,False,False
30324294.0,17.0,9.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,True,False,False,False,False
33854660.0,16.0,15.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,True,False,False,False,False
37650214.0,13.0,14.0,2024.0,1.0,0.0,3.02,2.0,False,False,False,True,False,False,False,False
75240000.0,3.0,34.0,2020.0,1.0,1.0,3.9,2.0,False,False,False,False,True,False,False,False
38042644.0,13.0,21.0,2022.0,1.0,0.0,3.02,2.0,False,False,False,True,False,False,False,False
14924263.0,10.0,11.0,2021.0,1.0,0.0,2.63,2.0,True,False,False,False,False,False,False,False
16360104.0,9.0,17.0,2023.0,1.0,0.0,3.3,2.0,True,False,False,False,False,False,False,False
29709300.0,16.0,3.0,2023.0,1.0,1.0,3.24,2.0,False,False,False,True,False,False,False,False
37770000.0,,10.0,2023.0,1.0,0.0,3.0,2.0,True,False,False,False,False,False,False,False
22652545.0,2.0,1.0,2024.0,1.0,0.0,,2.0,False,False,False,False,False,False,False,False
24161658.0,4.0,25.0,2023.0,1.0,0.0,2.87,2.0,False,False,False,False,False,True,False,False
15579050.0,5.0,3.0,2021.0,1.0,0.0,2.63,2.0,True,False,False,False,False,False,False,False
55334473.0,12.0,32.0,2023.0,1.0,0.0,3.1,2.0,False,True,False,False,False,False,False,False
19795000.0,4.0,21.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,False,False,False
25293037.0,2.0,3.0,2024.0,1.0,0.0,,2.0,False,False,False,False,False,False,False,False
31999440.0,16.0,15.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,True,False,False,False,False
26020054.0,22.0,8.0,2023.0,1.0,0.0,3.0,2.0,False,False,False,False,False,True,False,False
44000000.0,13.0,12.0,2023.0,1.0,0.0,,2.0,False,True,False,False,False,False,False,False
23990000.0,15.0,5.0,2023.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
16355789.0,6.0,15.0,2023.0,1.0,0.0,2.84,2.0,False,True,False,False,False,False,False,False
24610900.0,16.0,3.0,2023.0,1.0,1.0,3.24,2.0,False,False,False,True,False,False,False,False
76167310.0,6.0,3.0,2023.0,1.0,0.0,3.25,2.0,False,False,False,True,False,False,False,False
39220000.0,27.0,9.0,2023.0,1.0,0.0,3.13,2.0,True,False,False,False,False,False,False,False
13758188.0,12.0,3.0,2024.0,1.0,1.0,3.0,2.0,False,True,False,False,False,False,False,False
33870474.0,4.0,7.0,2022.0,1.0,0.0,3.25,2.0,False,False,False,False,True,False,False,False
27000000.0,5.0,7.0,2023.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
37620000.0,16.0,6.0,2023.0,1.0,1.0,3.24,2.0,False,False,False,True,False,False,False,False
33804798.0,5.0,43.0,2024.0,1.0,0.0,2.85,2.0,False,False,False,True,False,False,False,False
37585483.0,10.0,15.0,2022.0,1.0,0.0,3.4,2.0,True,False,False,False,False,False,False,False
30320640.0,,41.0,2023.0,1.0,0.0,3.05,2.0,False,False,False,True,False,False,False,False
24765188.0,9.0,5.0,2023.0,1.0,0.0,2.74,2.0,True,False,False,False,False,False,False,False
20150000.0,17.0,7.0,2024.0,1.0,0.0,3.0,2.0,False,True,False,False,False,False,False,False
31658683.0,5.0,6.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,False,False,True,False,False
35467058.0,17.0,9.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,True,False,False,False,False
17700000.0,4.0,5.0,2024.0,1.0,0.0,2.85,2.0,False,False,False,True,False,False,False,False
30756000.0,9.0,8.0,2022.0,1.0,0.0,,2.0,False,False,True,False,False,False,False,False
27984400.0,5.0,35.0,2024.0,1.0,0.0,3.0,2.0,False,False,False,False,False,False,False,True
139720000.0,1.0,5.0,2023.0,1.0,1.0,,2.0,False,False,False,False,True,False,False,False
32357376.0,25.0,3.0,2023.0,1.0,0.0,3.15,2.0,False,False,False,False,False,True,False,False
34729435.0,4.0,7.0,2024.0,1.0,1.0,3.0,2.0,False,False,False,False,True,False,False,False
21565260.0,20.0,8.0,2021.0,1.0,0.0,2.79,2.0,False,False,True,False,False,False,False,False
46855074.0,18.0,23.0,2021.0,1.0,0.0,3.1,2.0,False,False,False,False,False,False,False,True
22142467.0,20.0,7.0,2021.0,1.0,0.0,2.65,2.0,False,False,True,False,False,False,False,False
36000000.0,5.0,16.0,2023.0,1.0,0.0,,2.0,False,False,False,True,False,False,False,False
